scenario,planner,goal,runs,response_time_mean_s,response_time_std_s,path_length_mean_m,path_length_std_m,success_rate_pct,compute_time_mean_ms,compute_time_std_ms,replans_mean,replans_std
high_crowding,A*,patient_a,5,23.7294,0.4885,7.8284,0.0,100.0,0.3756,0.0596,1.0,0.0
high_crowding,A*,patient_b,5,77.0183,0.6634,14.6569,0.0,0.0,18.0238,3.1402,20.0,0.0
high_crowding,RRT*,patient_a,5,22.9086,1.0187,7.6525,0.4923,100.0,1.2066,0.9337,0.2,0.4
high_crowding,RRT*,patient_b,5,54.0653,6.9415,14.4348,1.1628,100.0,83.0769,71.2936,7.6,4.1761
low_crowding,A*,patient_a,5,24.1526,0.757,7.8284,0.0,100.0,0.9053,0.347,1.0,0.0
low_crowding,A*,patient_b,5,51.544,1.0226,14.0711,0.0,100.0,9.1216,2.2585,7.0,0.0
low_crowding,RRT*,patient_a,5,22.4059,0.105,7.3827,0.0608,100.0,3.4504,5.0822,0.4,0.4899
low_crowding,RRT*,patient_b,5,41.3932,4.0586,13.0265,0.2237,100.0,41.173,21.7302,2.6,1.4967
moderate_crowding,A*,patient_a,5,23.5232,0.131,7.8284,0.0,100.0,0.6171,0.2643,1.0,0.0
moderate_crowding,A*,patient_b,5,56.1659,8.0359,14.1883,0.2343,80.0,12.9193,2.7581,13.6,1.3565
moderate_crowding,RRT*,patient_a,5,22.8712,0.9977,7.6525,0.4923,100.0,1.1073,0.6129,0.2,0.4
moderate_crowding,RRT*,patient_b,5,42.2364,4.6221,13.7625,0.9385,100.0,28.2448,14.6813,4.0,2.0976
